Year,IncidentLocation,Origin,Dead,Survived,Cause
2014,Eastern Africa,Ethiopia,0,0,Drowning
2014,Europe,Unknown,2,0,Vehicle accident / death linked to hazardous transport
2014,Mediterranean,Unknown,0,0,Drowning
2014,Mediterranean,Unknown,0,0,Drowning
2014,Europe,Afghanistan,4,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Europe,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2014,Mediterranean,Unknown,17,75,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,Mediterranean,Unknown,0,28,Drowning
2014,Western Asia,Ethiopia,21,0,Drowning
2014,Europe,Sudan,1,0,Vehicle accident / death linked to hazardous transport
2014,Caribbean,Cuba,0,0,Drowning
2014,Mediterranean,Unknown,9,21,Drowning
2014,Mediterranean,Unknown,5,0,Drowning
2014,Mediterranean,Unknown,0,0,Mixed or unknown
2014,Mediterranean,Syrian Arab Republic,0,0,Drowning
2014,Mediterranean,Syrian Arab Republic,0,2,Drowning
2014,Northern Africa,Unknown,1,0,Violence
2014,Mediterranean,Unknown,4,0,Drowning
2014,South-eastern Asia,Unknown,0,0,Mixed or unknown
2014,Eastern Africa,,16,0,Mixed or unknown
2014,North America,Mixed,111,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,North America,Unknown,1,0,Violence
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Violence
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Violence
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,North America,Unknown,1,0,Mixed or unknown
2014,Mediterranean,"State of Palestine,Sudan",,20,Drowning
2015,Eastern Africa,Ethiopia,1,1,Violence
2015,Eastern Africa,Somalia,2,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Western Asia,Unknown,1,0,Mixed or unknown
2015,Western Asia,Unknown,1,0,Mixed or unknown
2015,South-eastern Asia,Myanmar,3,0,Violence
2015,Caribbean,Cuba,1,3,Drowning
2015,Europe,Syrian Arab Republic,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,North America,Unknown,1,0,Mixed or unknown
2015,Mediterranean,Unknown,5,16,Drowning
2015,Eastern Africa,Zimbabwe,2,2,Drowning
2015,Europe,Syrian Arab Republic,1,0,Vehicle accident / death linked to hazardous transport
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,South-eastern Asia,Myanmar,1,97,Violence
2015,South-eastern Asia,Myanmar,2,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,South-eastern Asia,Cambodia,6,5,Vehicle accident / death linked to hazardous transport
2015,Mediterranean,Unknown,9,27,Drowning
2015,Central America,Honduras,1,0,Violence
2015,Mediterranean,Unknown,1,418,Mixed or unknown
2015,Central America,Honduras,1,0,Violence
2015,Central America,El Salvador,1,9,Vehicle accident / death linked to hazardous transport
2015,Northern Africa,Nigeria,12,0,Vehicle accident / death linked to hazardous transport
2015,Mediterranean,Unknown,1,86,Drowning
2015,Northern Africa,Syrian Arab Republic,1,0,Vehicle accident / death linked to hazardous transport
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Caribbean,Haiti,1,0,Mixed or unknown
2015,South-eastern Asia,Bangladesh,8,0,Drowning
2015,Mediterranean,Guinea,8,10,Drowning
2015,North America,Unknown,1,0,Drowning
2015,Northern Africa,Ghana,1,0,Violence
2015,Northern Africa,Unknown,26,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Northern Africa,Unknown,1,0,Violence
2015,Western Asia,Unknown,3,0,Drowning
2015,Western Asia,"Ethiopia,Somalia",3,13,Drowning
2015,North America,Unknown,1,0,Drowning
2015,North America,Unknown,1,0,Mixed or unknown
2015,Mediterranean,"Iran (Islamic Republic of),Iraq",7,6,Drowning
2015,Mediterranean,"Côte d'Ivoire,Guinea,Mali,Mauritania,Senegal",29,76,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Mediterranean,"Côte d'Ivoire,Gambia,Guinea,Mali,Mauritania,Niger,Senegal",,9,Drowning
2015,Europe,Ethiopia,1,0,Violence
2015,North America,El Salvador,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Central America,Honduras,1,0,Mixed or unknown
2015,Eastern Asia,Unknown,0,4,Drowning
2015,Northern Africa,Unknown,5,0,Violence
2015,North America,"El Salvador,Guatemala,Mexico,Unknown",6,0,Drowning
2015,Mediterranean,"Eritrea,Sudan,Unknown",10,0,Drowning
2015,Caribbean,Haiti,1,0,Violence
2015,Central America,Honduras,1,0,Drowning
2015,North America,Unknown,1,0,Mixed or unknown
2015,Western Africa,Unknown,,0,Drowning
2015,Central America,Ecuador,1,0,Mixed or unknown
2015,Central America,Mexico,1,0,Drowning
2015,North America,Unknown,1,0,Drowning
2015,Northern Africa,Unknown,4,30,Drowning
2015,Western Asia,Unknown,42,30,Drowning
2015,Central America,Unknown,1,0,Drowning
2015,Western Asia,Iraq,2,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Northern Africa,Unknown,4,18,Drowning
2015,Central America,Unknown,1,0,Drowning
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Drowning
2015,Mediterranean,"Iraq,Syrian Arab Republic",5,8,Drowning
2015,Central America,Guatemala,9,0,Mixed or unknown
2015,Central America,"Honduras,Unknown",6,269,Vehicle accident / death linked to hazardous transport
2015,Mediterranean,"Nigeria,Unknown",3,84,Drowning
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Mexico,1,0,Violence
2015,Central America,Dominican Republic,1,0,Mixed or unknown
2015,Northern Africa,Unknown,4,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Western Africa,Unknown,3,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Northern Africa,Unknown,2,0,Violence
2015,Northern Africa,Unknown,2,0,Sickness / lack of access to adequate healthcare
2015,Northern Africa,Unknown,1,0,Violence
2015,Northern Africa,Unknown,2,0,Violence
2015,South-eastern Asia,Myanmar,,0,Mixed or unknown
2015,South-eastern Asia,Myanmar,,0,Drowning
2015,Eastern Africa,Unknown,1,0,Violence
2015,Eastern Africa,Unknown,2,0,Sickness / lack of access to adequate healthcare
2015,Caribbean,"Cuba,Dominican Republic",1,10,Drowning
2015,North America,Unknown,1,0,Mixed or unknown
2015,Mediterranean,"Iran (Islamic Republic of),Syrian Arab Republic",7,9,Drowning
2015,Eastern Africa,Unknown,4,0,Violence
2015,Caribbean,Haiti,21,12,Drowning
2015,Mediterranean,"Eritrea,Somalia",2,129,Drowning
2015,Mediterranean,Unknown,1,0,Mixed or unknown
2015,Caribbean,Costa Rica,,0,Drowning
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Mediterranean,Unknown,9,144,Drowning
2015,Eastern Africa,Unknown,1,0,Mixed or unknown
2015,Central America,Mexico,1,0,Drowning
2015,Central America,Mexico,1,0,Drowning
2015,Mediterranean,"Ghana,Niger",,15,Violence
2015,Mediterranean,Unknown,,4,Drowning
2015,Eastern Africa,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Mediterranean,"Eritrea,Somalia",1,70,Accidental death
2015,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,Mediterranean,"Algeria,Bangladesh,Côte d'Ivoire,Egypt,Eritrea,Gambia,Ghana,Guinea,Mali,Niger,Sierra Leone,Somalia,Sudan,Syrian Arab Republic,Tunisia,Zambia",750,28,Drowning
2015,Eastern Africa,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,Mediterranean,"Eritrea,Syrian Arab Republic",3,88,Drowning
2015,Central America,Unknown,1,0,Drowning
2015,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,Mediterranean,Afghanistan,1,0,Vehicle accident / death linked to hazardous transport
2015,South-eastern Asia,Cambodia,5,8,Vehicle accident / death linked to hazardous transport
2015,Europe,Unknown,14,36,Vehicle accident / death linked to hazardous transport
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Europe,Afghanistan,1,0,Vehicle accident / death linked to hazardous transport
2015,North America,Mexico,1,0,Vehicle accident / death linked to hazardous transport
2015,South-eastern Asia,Cambodia,7,9,Vehicle accident / death linked to hazardous transport
2015,Western Africa,Unknown,1,0,Sickness / lack of access to adequate healthcare
2015,Northern Africa,Unknown,2,0,Sickness / lack of access to adequate healthcare
2015,Northern Africa,Unknown,1,0,Violence
2015,Northern Africa,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Northern Africa,Unknown,2,0,Violence
2015,South-eastern Asia,Myanmar,36,0,Mixed or unknown
2015,Mediterranean,Mixed/Unknown,3,31,Drowning
2015,Mediterranean,Unknown,10,0,Drowning
2015,Mediterranean,"Mali,Nigeria,Senegal,Unknown",5,91,Mixed or unknown
2015,South-eastern Asia,,2,0,Mixed or unknown
2015,Central America,Unknown,1,2,Violence
2015,Europe,Afghanistan,1,0,Vehicle accident / death linked to hazardous transport
2015,North America,Mexico,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Northern Africa,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,South-eastern Asia,Myanmar,,700,Violence
2015,Eastern Africa,Unknown,1,0,Mixed or unknown
2015,South-eastern Asia,Myanmar,,0,Mixed or unknown
2015,North America,Unknown,1,0,Drowning
2015,Eastern Africa,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,South-eastern Asia,Bangladesh,1,0,Sickness / lack of access to adequate healthcare
2015,Eastern Africa,Madagascar,8,8,Drowning
2015,North America,El Salvador,1,0,Mixed or unknown
2015,Mediterranean,Eritrea,1,0,Vehicle accident / death linked to hazardous transport
2015,Eastern Africa,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Mediterranean,Tunisia,5,49,Drowning
2015,Northern Africa,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,South-eastern Asia,"Bangladesh,Myanmar",47,0,Drowning
2015,Mediterranean,Unknown,5,25,Drowning
2015,South-eastern Asia,Myanmar,106,0,Violence
2015,South-eastern Asia,"Bangladesh,Myanmar",2,0,Mixed or unknown
2015,Mediterranean,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,Central America,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,South America,Cuba,1,0,Sickness / lack of access to adequate healthcare
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,Central America,Unknown,8,0,Drowning
2015,Central America,Unknown,,0,Drowning
2015,Central America,Unknown,1,0,Violence
2015,North America,Unknown,1,0,Mixed or unknown
2015,Mediterranean,"Côte d'Ivoire,Unknown",17,454,Mixed or unknown
2015,Europe,Ethiopia,1,0,Vehicle accident / death linked to hazardous transport
2015,Western Africa,Unknown,6,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Northern Africa,Unknown,2,0,Violence
2015,Western Africa,Unknown,2,0,Violence
2015,Western Africa,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,Western Africa,Unknown,1,0,Vehicle accident / death linked to hazardous transport
2015,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,South-eastern Asia,Myanmar,,0,Mixed or unknown
2015,North America,Guatemala,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Central America,Honduras,1,0,Vehicle accident / death linked to hazardous transport
2015,Central America,Unknown,3,117,Violence
2015,Northern Africa,"Central African Republic,Côte d'Ivoire,Guinea,Liberia,Mali,Nigeria,Senegal",16,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Central America,Ghana,5,0,Drowning
2015,Western Africa,Unknown,15,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,Central America,Honduras,1,0,Vehicle accident / death linked to hazardous transport
2015,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,North America,Mexico,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,Mixed or unknown
2015,North America,Unknown,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water"
